ward_id,period,worldpop_population_2015,worldpop_population_2018,worldpop_abs_growth_2015_2018,worldpop_pct_growth_2015_2018,worldpop_annualized_growth_2015_2018_pct,worldpop_data_status,source,geometry_source
25,worldpop,27991.79,28695.3,703.5099999999984,2.5132726417281583,0.8308355528972688,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
26,worldpop,29835.64,30542.18,706.5400000000009,2.3681074044330903,0.7832188028386255,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
27,worldpop,21686.68,22219.56,532.880000000001,2.457176478834017,0.8124403576361239,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
28,worldpop,22402.19,22949.06,546.8700000000026,2.4411452630300996,0.8071821273478053,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
29,worldpop,14332.58,14695.71,363.1299999999992,2.533598277490858,0.8374991303665036,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
30,worldpop,25603.34,26227.12,623.7799999999988,2.4363227610147695,0.8056002419102537,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
31,worldpop,10112.94,10375.31,262.369999999999,2.5943988592832445,0.85742680045795,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
32,worldpop,27628.64,28324.46,695.8199999999997,2.518473583933193,0.832540719022945,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
33,worldpop,12403.0,12725.29,322.2900000000009,2.5984842376844384,0.8587655196879318,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
34,worldpop,9203.87,9448.4,244.52999999999884,2.6568171866834147,0.8778765056169036,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
35,worldpop,14788.22,15175.27,387.0500000000011,2.617285920820769,0.8649261003902842,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
36,worldpop,13971.79,14338.68,366.8899999999994,2.6259341143833352,0.8677595245813352,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
37,worldpop,16592.83,17017.03,424.1999999999971,2.556525921135798,0.8450146959284144,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
38,worldpop,35650.67,36514.47,863.8000000000029,2.4229558659065957,0.8012153503583752,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
39,worldpop,17017.05,17446.14,429.09000000000015,2.5215298773876795,0.8335427198040035,observed_raster_aggregation,WorldPop Global2 R2025A v1; 100m population counts; zonal aggregation,GHMC historical ward boundaries; 145 polygons from uploaded OSM GeoJSON + 5 polygons missing in uploaded file
