State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,source_file,source_district
28,536,4501,802918,93,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0093,Urban,6569,26593,13166,13427,2504,1274,1230,2440,1225,1215,199,102,97,21368,10995,10373,5225,2171,3054,11595,7606,3989,8448,6064,2384,151,104,47,117,49,68,128,70,58,8052,5841,2211,3147,1542,1605,118,61,57,51,23,28,32,8,24,2946,1450,1496,3082,1515,1567,118,61,57,50,22,28,28,7,21,2886,1425,1461,65,27,38,0,0,0,1,1,0,4,1,3,60,25,35,14998,5560,9438,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4501,802918,94,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0094,Urban,7072,28887,14539,14348,3096,1624,1472,4136,2075,2061,300,154,146,20933,11266,9667,7954,3273,4681,11115,8139,2976,9021,6996,2025,131,80,51,127,92,35,244,167,77,8519,6657,1862,2094,1143,951,153,71,82,20,11,9,35,15,20,1886,1046,840,1859,992,867,151,71,80,18,10,8,29,11,18,1661,900,761,235,151,84,2,0,2,2,1,1,6,4,2,225,146,79,17772,6400,11372,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4501,802918,95,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0095,Urban,7948,32690,16413,16277,3022,1585,1437,3665,1753,1912,343,173,170,25339,13336,12003,7351,3077,4274,14239,9269,4970,10247,7277,2970,110,63,47,199,116,83,317,218,99,9621,6880,2741,3992,1992,2000,125,51,74,135,53,82,205,75,130,3527,1813,1714,3795,1904,1891,124,50,74,124,49,75,170,60,110,3377,1745,1632,197,88,109,1,1,0,11,4,7,35,15,20,150,68,82,18451,7144,11307,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4501,802918,143,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0143,Urban,12324,52527,26748,25779,6048,3198,2850,1865,949,916,208,110,98,39931,21270,18661,12596,5478,7118,19131,14557,4574,16051,12638,3413,101,63,38,137,90,47,389,258,131,15424,12227,3197,3080,1919,1161,118,60,58,152,67,85,300,122,178,2510,1670,840,2519,1559,960,117,60,57,136,54,82,182,84,98,2084,1361,723,561,360,201,1,0,1,16,13,3,118,38,80,426,309,117,33396,12191,21205,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4501,802918,144,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0144,Urban,8075,34190,17184,17006,3701,1854,1847,2095,1043,1052,662,335,327,26737,14033,12704,7453,3151,4302,12073,9151,2922,10204,7934,2270,89,61,28,143,87,56,305,216,89,9667,7570,2097,1869,1217,652,35,15,20,24,13,11,165,132,33,1645,1057,588,1756,1151,605,35,15,20,22,12,10,162,130,32,1537,994,543,113,66,47,0,0,0,2,1,1,3,2,1,108,63,45,22117,8033,14084,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4502,802918,83,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0083,Urban,6110,26762,13407,13355,3254,1714,1540,1553,738,815,285,158,127,19044,10122,8922,7718,3285,4433,9869,7353,2516,8165,6498,1667,177,136,41,77,50,27,251,204,47,7660,6108,1552,1704,855,849,110,47,63,46,16,30,54,20,34,1494,772,722,1629,818,811,109,47,62,39,12,27,38,15,23,1443,744,699,75,37,38,1,0,1,7,4,3,16,5,11,51,28,23,16893,6054,10839,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4502,802918,84,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0084,Urban,9426,41720,21375,20345,5589,2893,2696,2483,1265,1218,580,309,271,29267,16058,13209,12453,5317,7136,13520,10987,2533,10699,9198,1501,72,53,19,73,42,31,346,250,96,10208,8853,1355,2821,1789,1032,89,44,45,16,9,7,73,24,49,2643,1712,931,2565,1592,973,88,43,45,15,8,7,61,21,40,2401,1520,881,256,197,59,1,1,0,1,1,0,12,3,9,242,192,50,28200,10388,17812,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4502,802918,85,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0085,Urban,5764,24826,12566,12260,2771,1447,1324,1905,941,964,635,318,317,18961,10026,8935,5865,2540,3325,9407,6998,2409,7753,6072,1681,98,63,35,124,101,23,333,241,92,7198,5667,1531,1654,926,728,104,40,64,41,32,9,61,33,28,1448,821,627,1594,891,703,104,40,64,39,30,9,55,31,24,1396,790,606,60,35,25,0,0,0,2,2,0,6,2,4,52,31,21,15419,5568,9851,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4502,802918,86,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0086,Urban,6802,27719,13980,13739,2426,1280,1146,1471,712,759,233,113,120,22264,11633,10631,5455,2347,3108,12134,8022,4112,8506,6242,2264,132,73,59,99,68,31,275,192,83,8000,5909,2091,3628,1780,1848,211,85,126,50,15,35,241,24,217,3126,1656,1470,3578,1751,1827,210,84,126,48,14,34,235,21,214,3085,1632,1453,50,29,21,1,1,0,2,1,1,6,3,3,41,24,17,15585,5958,9627,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4502,802918,87,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0087,Urban,8066,32531,16412,16119,2798,1469,1329,2829,1419,1410,146,78,68,26976,14093,12883,5555,2319,3236,13175,9487,3688,10750,8168,2582,92,54,38,90,66,24,107,72,35,10461,7976,2485,2425,1319,1106,131,64,67,32,21,11,52,18,34,2210,1216,994,2337,1268,1069,130,63,67,31,20,11,43,15,28,2133,1170,963,88,51,37,1,1,0,1,1,0,9,3,6,77,46,31,19356,6925,12431,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
